,address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,latitude,longitude
0,181 Ofarrell St Ste 305,San Francisco,CA,94102.0,1040000.0,1334.0,1.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/82785263_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7862743,-122.4075642
1,342 Hayes St Apt B,San Francisco,CA,94102.0,1269000.0,,2.0,2.5,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15078395_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7771615,-122.4221579
2,650 Turk St Unit 406,San Francisco,CA,94102.0,499900.0,398.0,0.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2099883483_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7821397,-122.4200225
3,181 Ofarrell St Ste 509,San Francisco,CA,94102.0,948000.0,1076.0,1.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/82785281_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7862743,-122.4075642
4,653 Fell St,San Francisco,CA,94102.0,1298000.0,1760.0,0.0,,,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2094630147_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.774949,-122.428593
5,524 Hickory St,San Francisco,CA,94102.0,998000.0,,,,,Lot/Land For Sale,"http://www.zillow.com/homes/for_sale/2094630148_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.77475,-122.4286175
6,294 Page St,San Francisco,CA,94102.0,5195000.0,6950.0,4.0,4.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15078760_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.773943,-122.425587
7,24 Page St Unit 5,San Francisco,CA,94102.0,1495000.0,1740.0,3.0,3.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15078709_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7744799,-122.421362
8,601 Van Ness Ave Apt 623,San Francisco,CA,94102.0,644000.0,721.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15077715_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7817846,-122.4208606
9,11 Franklin St Unit 205,San Francisco,CA,94102.0,749000.0,548.0,1.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095017323_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7745585,-122.420818
