,Unnamed: 0,Unnamed: 0.1,address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,latitude,longitude,photo_url,neighborhood
566,567,767,61 Moulton St,San Francisco,CA,94123.0,1150000.0,1015.0,2.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/54854318_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7995903,-122.4336683,https://photos.zillowstatic.com/p_h/ISuoqp2mxpbanb0000000000.jpg,Marina
567,568,768,17 Casa Way,San Francisco,CA,94123.0,3400000.0,4130.0,0.0,,2.0,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2098833566_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.805161,-122.4385348,https://photos.zillowstatic.com/p_h/ISmmjkdoxr7hf51000000000.jpg,Marina
568,569,769,2727 Vallejo St,San Francisco,CA,94123.0,7900000.0,3955.0,5.0,6.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15080824_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.794033,-122.442241,https://photos.zillowstatic.com/p_h/ISql1t4vbvz0t51000000000.jpg,Pacific Heights
569,570,770,2566 Vallejo St,San Francisco,CA,94123.0,7200000.0,3960.0,5.0,5.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15072476_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.794947,-122.439558,https://photos.zillowstatic.com/p_h/IS-1qlwb08qyycf1.jpg,Marina
570,571,771,1915 Vallejo St,San Francisco,CA,94123.0,3125000.0,2442.0,3.0,4.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2094558818_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.795772899999996,-122.429305,https://photos.zillowstatic.com/p_h/ISyfuta5o9nrt41000000000.jpg,Pacific Heights
571,572,772,3135 Divisadero St,San Francisco,CA,94123.0,1520000.0,1549.0,2.0,1.0,,House For Sale,"http://www.zillow.com/homes/for_sale/2094674518_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7986005,-122.4428283,https://photos.zillowstatic.com/p_h/ISif7n889bh4391000000000.jpg,Marina
572,573,773,2557 Filbert St,San Francisco,CA,94123.0,12000000.0,6085.0,6.0,4.0,19.0,House For Sale,"http://www.zillow.com/homes/for_sale/2094744212_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.796977000000005,-122.44163200000001,https://photos.zillowstatic.com/p_h/ISeozfz21rav700000000000.jpg,Marina
573,574,774,451 Avila St,San Francisco,CA,94123.0,4750000.0,3425.0,4.0,3.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15069592_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.8054614,-122.44067350000002,https://photos.zillowstatic.com/p_h/ISyqvtxgr9p09v.jpg,Marina
574,575,775,3137 Divisadero St # A,San Francisco,CA,94123.0,719000.0,728.0,1.0,1.0,,House For Sale,"http://www.zillow.com/homes/for_sale/2094675024_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7986073,-122.4427148,https://photos.zillowstatic.com/p_h/ISa95bq15397391000000000.jpg,Marina
575,576,776,2572 Greenwich St,San Francisco,CA,94123.0,5595000.0,4221.0,4.0,5.0,15.0,House For Sale,"http://www.zillow.com/homes/for_sale/15080233_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7983672,-122.44203529999999,https://photos.zillowstatic.com/p_h/ISalazdg3zb3u21000000000.jpg,Marina
576,577,777,3137 Divisadero St,San Francisco,CA,94123.0,1649000.0,1681.0,2.0,2.0,,House For Sale,"http://www.zillow.com/homes/for_sale/2094674128_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7986073,-122.4427148,https://photos.zillowstatic.com/p_h/ISql9zqedjp1391000000000.jpg,Marina
577,578,778,3518 Webster St,San Francisco,CA,94123.0,3499000.0,2060.0,4.0,3.0,14.0,House For Sale,"http://www.zillow.com/homes/for_sale/15070158_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.8032551,-122.4347912,https://photos.zillowstatic.com/p_h/ISalilk2prpsmd1000000000.jpg,Marina
578,579,779,3135-3137 DIVISADERO ST,SAN FRANCISCO,CA,94123.0,3888000.0,3958.0,0.0,,12.0,House For Sale,"http://www.zillow.com/homes/for_sale/15080234_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7986073,-122.4427148,https://photos.zillowstatic.com/p_h/ISirgqqzihtyy81000000000.jpg,Marina
