,Unnamed: 0,address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,latitude,longitude,photo_url
373,497,629 Alvarado St,San Francisco,CA,94114.0,2295000.0,,3.0,3.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15131599_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.753405,-122.435012,https://photos.zillowstatic.com/p_h/ISq1ay68by25hr0000000000.jpg
374,498,445 Noe St,San Francisco,CA,94114.0,2195000.0,3994.0,0.0,,2.0,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2094544742_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.761967,-122.432548,https://photos.zillowstatic.com/p_h/IS2jr8godo2jfm0000000000.jpg
375,499,190 Saint Germain Ave,San Francisco,CA,94114.0,4795000.0,4895.0,6.0,5.5,3.0,House For Sale,"http://www.zillow.com/homes/for_sale/72506423_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7575372,-122.4518813,https://photos.zillowstatic.com/p_h/IS66kduyji9v8v0000000000.jpg
376,500,3861 25th St # A,San Francisco,CA,94114.0,485000.0,,0.0,1.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/15181350_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.749907,-122.426374,https://photos.zillowstatic.com/p_h/IS2f48tucym7zo1000000000.jpg
377,501,284 Grand View Ave,San Francisco,CA,94114.0,3950000.0,,4.0,3.5,,House For Sale,"http://www.zillow.com/homes/for_sale/15130594_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7537116,-122.4418481,https://photos.zillowstatic.com/p_h/ISuknw6mqrsqnt0000000000.jpg
378,502,56 Danvers St,San Francisco,CA,94114.0,1750000.0,1326.0,2.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2099294597_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.760626,-122.443803,https://photos.zillowstatic.com/p_h/ISe87nxax3riwt0000000000.jpg
379,503,58 Danvers St,San Francisco,CA,94114.0,1475000.0,1276.0,2.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2098601518_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7606816,-122.4437853,https://photos.zillowstatic.com/p_h/IS23jrcuywdj0n1000000000.jpg
380,504,4362 23rd St,San Francisco,CA,94114.0,2700000.0,3121.0,3.0,4.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/59731540_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.75279,-122.440006,https://photos.zillowstatic.com/p_h/ISy395o6hl6vj51000000000.jpg
381,505,52 Homestead St,San Francisco,CA,94114.0,4799000.0,4100.0,5.0,5.5,16.0,House For Sale,"http://www.zillow.com/homes/for_sale/15180030_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.750109,-122.439785,https://photos.zillowstatic.com/p_h/ISqlxtqdgy0uh41000000000.jpg
382,506,1 Clarendon Ave,San Francisco,CA,94114.0,25000000.0,,0.0,,21.0,For Sale by Owner,"http://www.zillow.com/homes/for_sale/15129663_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7588387,-122.4487543,OOPS
383,507,30 Palo Alto Ave,San Francisco,CA,94114.0,3995000.0,4641.0,4.0,5.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15130074_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7570733,-122.4483299,https://photos.zillowstatic.com/p_h/IS2jfj0enlbh300000000000.jpg
384,508,1141 Church St,San Francisco,CA,94114.0,1595000.0,1400.0,2.0,2.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15147081_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7526159,-122.4272773,https://photos.zillowstatic.com/p_h/ISmeh5ar04b8pc1000000000.jpg
385,509,254 Collingwood St,San Francisco,CA,94114.0,1950000.0,3216.0,0.0,,13.0,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2094673068_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7584025,-122.4360811,https://photos.zillowstatic.com/p_h/ISa9pmwh1xl5xh1000000000.jpg
386,510,556 Elizabeth St,San Francisco,CA,94114.0,2995000.0,2701.0,4.0,3.5,,House For Sale,"http://www.zillow.com/homes/for_sale/15147232_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.752326,-122.4332037,https://photos.zillowstatic.com/p_h/ISma62579brz4p0000000000.jpg
387,511,3867 17th St,San Francisco,CA,94114.0,1695000.0,,0.0,,22.0,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2094782185_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.76242,-122.432184,https://photos.zillowstatic.com/p_h/ISqhad7sjg3ntf0000000000.jpg
388,512,656 Elizabeth St,San Francisco,CA,94114.0,2900000.0,3866.0,5.0,4.0,15.0,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2094694261_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.752258,-122.43552,https://photos.zillowstatic.com/p_h/ISyzlokdt773zh0000000000.jpg
389,514,3816 22nd St,San Francisco,CA,94114.0,5750000.0,6045.0,4.0,5.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15146278_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.754826,-122.432916,https://photos.zillowstatic.com/p_h/ISij6pkbf6dv4t1000000000.jpg
390,516,2339 Market St,San Francisco,CA,94114.0,5400000.0,9391.0,0.0,,47.0,Apartment For Sale,"http://www.zillow.com/homes/for_sale/2095063555_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7632858,-122.4338388,https://photos.zillowstatic.com/p_h/ISynwcd4xyx4rr1000000000.jpg
391,524,4306-4308 21st St,San Francisco,CA,94114.0,4995000.0,,6.0,7.0,80.0,House For Sale,"http://www.zillow.com/homes/for_sale/2095448027_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7554777,-122.4392267,https://photos.zillowstatic.com/p_h/IS2nauwnthmzre0000000000.jpg
392,525,492 Douglass St,San Francisco,CA,94114.0,4990000.0,780.0,3.0,5.0,,House For Sale,"http://www.zillow.com/homes/for_sale/15130486_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7555672,-122.439133,https://photos.zillowstatic.com/p_h/ISqhe00da3c4ol0000000000.jpg
393,526,3943 21st St,San Francisco,CA,94114.0,1995000.0,2335.0,4.0,3.5,43.0,House For Sale,"http://www.zillow.com/homes/for_sale/15130821_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.755854,-122.435322,https://photos.zillowstatic.com/p_h/ISmut10gvyhx4v1000000000.jpg
