,address,city,state,zip,price,sqft,bedrooms,bathrooms,days_on_zillow,sale_type,url,latitude,longitude
68,1488 Harrison St Apt 103,San Francisco,CA,94103.0,1050000.0,1102.0,1.0,2.0,89.0,Make Me Move,"http://www.zillow.com/homes/for_sale/59779633_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7709365,-122.4124279
69,520 6th St Apt 20,San Francisco,CA,94103.0,1895000.0,2051.0,2.0,3.0,47.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/80734645_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7754881,-122.4023557
70,1791 MISSION ST,SAN FRANCISCO,CA,94103.0,950000.0,,,,40.0,For Sale by Owner,"http://www.zillow.com/homes/for_sale/125271727_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.768462,-122.419723
71,68 Harriet St Unit 10,San Francisco,CA,94103.0,870000.0,1005.0,1.0,2.0,285.0,Make Me Move,"http://www.zillow.com/homes/for_sale/80731490_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7783528,-122.4068131
72,765 Market St Apt 34F,San Francisco,CA,94103.0,5995000.0,2572.0,3.0,3.0,176.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/63149714_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.786212,-122.404303
73,,,,,,2572.0,2.0,2.0,34.0,Foreclosure,"http://www.zillow.com/homes/for_sale/127128298_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",18.7756318,100.7730417
74,765 Market St Apt 26F,San Francisco,CA,94103.0,5695000.0,2576.0,3.0,4.0,117.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/63197315_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.786212,-122.404303
75,765 Market St Apt 36F,San Francisco,CA,94103.0,6450000.0,2610.0,3.0,4.0,154.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/63197385_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.786212,-122.404303
76,,,,,857600.0,1050.0,,1.0,43.0,Foreclosure,"http://www.zillow.com/homes/for_sale/128834330_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",18.7756318,100.7730417
77,690 Market St # 701,San Francisco,CA,94104.0,1495000.0,1475.0,1.0,1.5,,Condo For Sale,"http://www.zillow.com/homes/for_sale/89237213_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7882516,-122.4030794
78,690 Market St # 504,San Francisco,CA,94104.0,1998000.0,1695.0,2.0,2.5,,Condo For Sale,"http://www.zillow.com/homes/for_sale/89237437_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7882516,-122.4030794
79,690 Market St # 303,San Francisco,CA,94104.0,,1254.0,1.0,1.0,1511.0,,"http://www.zillow.com/homes/for_sale/89240462_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7882516,-122.4030794
80,690 Market St # 201,San Francisco,CA,94104.0,1295000.0,1290.0,1.0,1.5,,Condo For Sale,"http://www.zillow.com/homes/for_sale/89238930_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7882516,-122.4030794
81,,,,,944000.0,964.0,2.0,2.0,469.0,Foreclosure,"http://www.zillow.com/homes/for_sale/124411033_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",18.7756318,100.7730417
82,690 Market St # 902,San Francisco,CA,94104.0,3195000.0,2490.0,2.0,3.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/89240586_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7882516,-122.4030794
83,690 Market St Unit 1605,San Francisco,CA,94104.0,1048000.0,952.0,1.0,2.0,195.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/89240118_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7882516,-122.4030794
84,690 Market St Unit 1904,San Francisco,CA,94104.0,2698000.0,1960.0,3.0,3.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/89238999_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7882516,-122.4030794
85,201 Folsom St # 2PGZ5G,San Francisco,CA,94105.0,1525000.0,972.0,1.0,1.0,,New Construction,"http://www.zillow.com/homes/for_sale/2098636730_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7886997,-122.39226
86,401 Harrison St # 9QXRH8,San Francisco,CA,94105.0,800000.0,840.0,1.0,1.0,,New Construction,"http://www.zillow.com/homes/for_sale/2097683950_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7863987,-122.3920534
87,201 Folsom St # OBJV6E,San Francisco,CA,94105.0,1170000.0,876.0,1.0,1.0,,New Construction,"http://www.zillow.com/homes/for_sale/2097661525_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7886997,-122.39226
88,301 Mission St Apt 401,San Francisco,CA,94105.0,5995000.0,3814.0,4.0,4.0,7.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/111710995_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.790387,-122.3961664
89,333 Beale St Apt 3F,San Francisco,CA,94105.0,989000.0,920.0,1.0,1.0,6.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/2094962155_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7884007,-122.3919172
90,401 Harrison St Apt 20B,San Francisco,CA,94105.0,1700000.0,1311.0,2.0,2.0,4.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/2094944338_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7863987,-122.3920534
91,333 Beale St # C3G,San Francisco,CA,94105.0,1950000.0,1553.0,2.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2094961365_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7884007,-122.3919172
92,301 Mission St Apt 33E,San Francisco,CA,94105.0,2500000.0,1714.0,2.0,2.0,10.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/114316151_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.790387,-122.3961664
93,201 Folsom St # 44LUC4,San Francisco,CA,94105.0,1530000.0,1401.0,2.0,2.0,,New Construction,"http://www.zillow.com/homes/for_sale/2098636729_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7886997,-122.39226
94,201 Folsom St # 52P34K,San Francisco,CA,94105.0,1485000.0,1189.0,2.0,2.0,,New Construction,"http://www.zillow.com/homes/for_sale/2098636734_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7886997,-122.39226
95,301 Main St Unit 18E,San Francisco,CA,94105.0,1680000.0,1180.0,2.0,2.0,6.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/2104779473_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.789525,-122.3911753
96,201 Folsom St # 4LNGQC,San Francisco,CA,94105.0,1605000.0,1366.0,2.0,2.0,,New Construction,"http://www.zillow.com/homes/for_sale/2098636731_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7886997,-122.39226
97,403 Main St Apt 504N,San Francisco,CA,94105.0,635000.0,483.0,1.0,1.0,10.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/15148601_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7880115,-122.3896827
98,400 Beale St Apt 1301,San Francisco,CA,94105.0,1195000.0,1223.0,2.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/80736771_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7870882,-122.3911279
99,201 Harrison St Apt 610,San Francisco,CA,94105.0,875000.0,797.0,2.0,2.0,21.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/15148284_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7876582,-122.3905155
100,301 Mission St Apt 53D,San Francisco,CA,94105.0,3995000.0,2230.0,2.0,3.0,11.0,Apartment For Sale,"http://www.zillow.com/homes/for_sale/114317706_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.790387,-122.3961664
101,403 Main St Apt 817N,San Francisco,CA,94105.0,875000.0,922.0,1.0,1.0,10.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/15148674_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7880115,-122.3896827
102,301 Mission St Apt 4E,San Francisco,CA,94105.0,1299000.0,1136.0,2.0,2.0,12.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/111925912_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.790387,-122.3961664
103,201 Folsom St # 36ILJO,San Francisco,CA,94105.0,2350000.0,1495.0,2.0,2.0,,New Construction,"http://www.zillow.com/homes/for_sale/2098636733_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7886997,-122.39226
104,201 Harrison St Apt 125,San Francisco,CA,94105.0,625000.0,,1.0,1.0,19.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/15148147_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7876582,-122.3905155
105,403 Main St Apt 203N,San Francisco,CA,94105.0,1195000.0,1176.0,2.0,2.0,25.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/15148540_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7880115,-122.3896827
106,201 Folsom St # EYS5DE,San Francisco,CA,94105.0,3085000.0,1780.0,3.0,3.0,,New Construction,"http://www.zillow.com/homes/for_sale/2096956669_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7886997,-122.39226
107,74 New Montgomery St Unit 613,San Francisco,CA,94105.0,849000.0,,1.0,1.0,25.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/82785979_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7876853,-122.4010321
108,50 Lansing St Unit 703,San Francisco,CA,94105.0,1198000.0,1082.0,2.0,2.0,22.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/79841936_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7860194,-122.3942091
109,201 Folsom St Apt 9F,San Francisco,CA,94105.0,1420000.0,1187.0,2.0,2.0,,New Construction,"http://www.zillow.com/homes/for_sale/2095078529_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7886997,-122.39226
110,201 Folsom St Apt 15D,San Francisco,CA,94105.0,1200000.0,881.0,1.0,1.0,,Foreclosure,"http://www.zillow.com/homes/for_sale/2095171683_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7886997,-122.39226
111,188 Minna St Apt 29C,San Francisco,CA,94105.0,2995000.0,1670.0,2.0,3.0,21.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/69819172_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.78629,-122.401375
112,201 Folsom St # C15207,San Francisco,CA,94105.0,5435000.0,2692.0,3.0,3.0,,New Construction,"http://www.zillow.com/homes/for_sale/2096951602_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7886997,-122.39226
113,,,,,,759.0,1.0,1.0,48.0,Foreclosure,"http://www.zillow.com/homes/for_sale/128822789_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",18.7756318,100.7730417
114,,,,,,675.0,1.0,1.0,74.0,Foreclosure,"http://www.zillow.com/homes/for_sale/128641696_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",18.7756318,100.7730417
115,,,,,668000.0,666.0,1.0,1.0,642.0,Foreclosure,"http://www.zillow.com/homes/for_sale/122815209_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",18.7756318,100.7730417
116,,,,,,572.0,1.0,1.0,250.0,Foreclosure,"http://www.zillow.com/homes/for_sale/126728228_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",18.7756318,100.7730417
117,401 Harrison St # 7D,San Francisco,CA,94105.0,795000.0,611.0,1.0,1.0,43.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095405137_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7863987,-122.3920534
118,425 1st St Unit 3002,San Francisco,CA,94105.0,2985000.0,1971.0,3.0,3.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/83153080_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7861411,-122.392459
119,401 Harrison St # 43D,San Francisco,CA,94105.0,3075000.0,1252.0,2.0,2.0,43.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095404699_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7863987,-122.3920534
120,300 Beale St Apt 301,San Francisco,CA,94105.0,1700000.0,1798.0,2.0,2.0,32.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/80753566_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7881762,-122.3925217
121,338 Main St Unit 23C,San Francisco,CA,94105.0,2999000.0,1400.0,2.0,2.0,,Condo For Sale,"http://www.zillow.com/homes/for_sale/2097480612_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7888208,-122.3912963
122,401 Harrison St # 28C,San Francisco,CA,94105.0,2332000.0,1334.0,2.0,2.0,43.0,Condo For Sale,"http://www.zillow.com/homes/for_sale/2095404907_zpid/any_days/globalrelevanceex_sort/29.759534,-95.335321,29.675003,-95.502863_rect/12_zm/",37.7863987,-122.3920534
